word1,word2,POS,SimLex999,conc(w1),conc(w2),concQ,Assoc(USF),SimAssoc333,SD(SimLex),stimulus,stimulusID,list
alcohol,gin,N,8.65,4.76,4.46,3,1.64,1,1.17,alcohol / gin,199,1
hat,coat,N,2.67,4.88,4.97,4,1.62,1,1.76,hat / coat,200,1
window,door,N,3.33,4.86,4.81,4,1.56,1,1.6,window / door,201,1
arm,wrist,N,3.57,4.96,4.93,4,1.55,1,1.33,arm / wrist,202,1
house,apartment,N,5.8,5,4.9,4,1.54,1,1.4,house / apartment,203,1
glass,crystal,N,6.27,4.82,4.58,3,1.52,1,1.48,glass / crystal,204,1
wine,brandy,N,5.15,4.79,4.81,4,1.52,1,1.67,wine / brandy,205,1
creator,maker,N,9.62,3.07,3.9,2,1.51,1,1.4,creator / maker,206,1
dinner,breakfast,N,3.33,4.5,4.43,3,1.49,1,1.72,dinner / breakfast,207,1
arm,muscle,N,3.72,4.96,4.5,3,1.45,1,0.83,arm / muscle,208,1
bubble,suds,N,8.57,4.6,4.59,3,1.42,1,1.59,bubble / suds,209,1
bread,flour,N,3.33,4.92,4.97,4,1.42,1,1.25,bread / flour,210,1
death,tragedy,N,5.8,3.73,2.07,2,1.41,1,1.13,death / tragedy,211,1
absence,presence,N,0.4,2.31,2.72,1,1.38,1,1.5,absence / presence,212,1
gun,cannon,N,5.68,4.83,4.79,4,1.35,1,1.56,gun / cannon,213,1
grass,blade,N,4.57,4.93,4.93,4,1.34,1,1.53,grass / blade,214,1
ball,basket,N,1.67,5,5,4,1.33,1,1.08,ball / basket,215,1
hose,garden,N,1.67,4.87,4.73,4,1.32,1,1.1,hose / garden,216,1
boy,kid,N,7.5,4.76,4.56,3,1.28,1,1.44,boy / kid,217,1
church,choir,N,2.95,4.9,4.34,3,1.27,1,1.43,church / choir,218,1
clothes,drawer,N,3.02,4.76,4.67,3,1.27,1,1.49,clothes / drawer,219,1
tower,bell,N,1.9,4.76,4.96,4,1.22,1,1.41,tower / bell,220,1
father,parent,N,7.07,4.52,4.56,3,1.19,1,1.06,father / parent,221,1
school,grade,N,4.42,4.79,3,3,1.18,1,1.32,school / grade,222,1
parent,adult,N,5.37,4.56,4.4,3,1.15,1,1.6,parent / adult,223,1
bar,jail,N,1.9,4.67,4.83,4,1.15,1,1.12,bar / jail,224,1
car,highway,N,3.4,4.89,4.72,4,1.15,1,1.77,car / highway,225,1
dictionary,definition,N,6.25,4.62,3.07,3,1.14,1,1.06,dictionary / definition,226,1
door,cellar,N,1.97,4.81,4.68,4,1.13,1,1.47,door / cellar,227,1
army,legion,N,5.95,4.7,2.69,2,1.11,1,1.29,army / legion,228,1
metal,aluminum,N,7.25,4.87,4.88,4,1.1,1,1.76,metal / aluminum,229,1
chair,bench,N,6.67,4.58,4.87,3,1.09,1,1.22,chair / bench,230,1
cloud,fog,N,6,4.54,4.66,3,1.05,1,1.04,cloud / fog,231,1
boy,son,N,6.75,4.76,4.14,3,1.03,1,0.88,boy / son,232,1
water,ice,N,6.47,5,4.89,4,1.03,1,1.66,water / ice,233,1
bed,blanket,N,3.02,5,5,4,1.02,1,1.48,bed / blanket,234,1
attorney,lawyer,N,9.35,4.52,4.7,3,1.01,1,1.4,attorney / lawyer,235,1
area,zone,N,8.33,3.72,3.07,2,0.97,1,0.89,area / zone,236,1
business,company,N,9.02,3.28,4.11,3,0.97,1,0.47,business / company,237,1
clothes,fabric,N,5.87,4.76,4.63,3,0.96,1,1.66,clothes / fabric,238,1
sweater,jacket,N,7.15,4.78,4.86,4,0.96,1,1.13,sweater / jacket,239,1
money,capital,N,6.67,4.54,4.1,3,0.95,1,0.97,money / capital,240,1
hand,foot,N,4.17,4.72,4.9,4,0.95,1,1.41,hand / foot,241,1
alcohol,cocktail,N,6.73,4.76,4.4,3,0.93,1,1.2,alcohol / cocktail,242,1
yard,inch,N,3.78,4.82,4.37,3,0.93,1,1.4,yard / inch,243,1
molecule,atom,N,6.45,3.27,3.34,2,0.92,1,1.56,molecule / atom,244,1
lens,camera,N,4.28,4.64,5,4,0.9,1,1.89,lens / camera,245,1
meal,dinner,N,7.15,4.62,4.5,3,0.88,1,2,meal / dinner,246,1
eye,tear,N,3.55,4.9,4.56,3,0.88,1,1.48,eye / tear,247,1
god,devil,N,1.8,2.07,3.41,2,0.87,1,1.1,god / devil,248,1
loop,belt,N,3.1,4.26,4.9,3,0.87,1,1.74,loop / belt,249,1
rat,mouse,N,7.78,4.85,4.83,4,0.87,1,0.93,rat / mouse,250,1
motor,engine,N,8.65,4.84,4.86,4,0.87,1,1.47,motor / engine,251,1
car,cab,N,7.42,4.89,4.88,4,0.87,1,1.15,car / cab,252,1
cat,lion,N,6.75,4.86,4.96,4,0.85,1,0.84,cat / lion,253,1
size,magnitude,N,6.33,3.13,2.43,2,0.84,1,0.59,size / magnitude,254,1
reality,fantasy,N,1.03,1.72,1.59,1,0.83,1,0.89,reality / fantasy,255,1
door,gate,N,5.25,4.81,4.96,4,0.83,1,1.47,door / gate,256,1
cat,pet,N,5.95,4.86,4.71,4,0.82,1,1.41,cat / pet,257,1
tin,aluminum,N,6.42,4.87,4.88,4,0.82,1,1.3,tin / aluminum,258,1
bone,jaw,N,4.17,4.9,4.87,4,0.82,1,0.44,bone / jaw,259,1
cereal,wheat,N,3.75,4.83,4.89,4,0.81,1,1.72,cereal / wheat,260,1
house,key,N,1.9,5,4.89,4,0.8,1,1.09,house / key,261,1
blood,flesh,N,4.28,4.86,4.59,3,0.79,1,1.74,blood / flesh,262,1
door,corridor,N,3.73,4.81,4.72,4,0.79,1,1.11,door / corridor,263,1
god,spirit,N,7.3,2.07,1.6,1,0.77,1,1.63,god / spirit,264,1
capability,competence,N,7.62,1.93,1.78,1,0.77,1,0.84,capability / competence,265,1
abundance,plenty,N,8.97,2.21,2.39,1,0.77,1,1.02,abundance / plenty,266,1
sofa,chair,N,6.67,4.9,4.58,4,0.77,1,1.56,sofa / chair,267,1
wall,brick,N,4.68,4.86,4.83,4,0.77,1,1.16,wall / brick,268,1
horn,drum,N,2.68,5,4.96,4,0.77,1,0.47,horn / drum,269,1
organ,liver,N,6.15,4.77,4.68,3,0.76,1,1.12,organ / liver,270,1
strength,might,N,7.07,2.96,2.32,2,0.74,1,0.8,strength / might,271,1
phrase,word,N,5.48,2.86,3.56,2,0.74,1,1.73,phrase / word,272,1
band,parade,N,3.92,4.68,4.54,3,0.74,1,1.74,band / parade,273,1
stomach,waist,N,5.9,4.89,4.72,4,0.74,1,1.49,stomach / waist,274,1
cloud,storm,N,5.6,4.54,4.7,3,0.73,1,1.47,cloud / storm,275,1
joy,pride,N,5,2.37,1.66,1,0.72,1,0.9,joy / pride,276,1
noise,rattle,N,6.17,3.52,4.07,3,0.72,1,1.33,noise / rattle,277,1
rain,mist,N,5.97,4.97,4.51,4,0.71,1,1.83,rain / mist,278,1
beer,beverage,N,5.42,4.88,4.6,4,0.71,1,1.34,beer / beverage,279,1
man,uncle,N,3.92,4.79,4.24,3,0.7,1,1.36,man / uncle,280,1
apple,juice,N,2.88,5,4.89,4,0.7,1,1.65,apple / juice,281,1
intelligence,logic,N,6.5,2.24,1.72,1,0.68,1,1.2,intelligence / logic,282,1
communication,language,N,7.47,2.9,2.35,2,0.68,1,1.09,communication / language,283,1
mink,fur,N,6.83,4.58,4.69,3,0.68,1,0.39,mink / fur,284,1
mob,crowd,N,7.85,3.88,4.52,3,0.67,1,1.2,mob / crowd,285,1
shore,coast,N,8.83,4.79,4.21,3,0.67,1,1.53,shore / coast,286,1
wire,cord,N,7.62,4.72,4.63,3,0.67,1,1.35,wire / cord,287,1
bird,turkey,N,6.58,5,4.89,4,0.67,1,1.6,bird / turkey,288,1
bed,crib,N,7.3,5,4.86,4,0.65,1,1.56,bed / crib,289,1
competence,ability,N,7.5,1.78,1.81,1,0.63,1,0.6,competence / ability,290,1
cloud,haze,N,7.32,4.54,4.04,3,0.63,1,1.68,cloud / haze,291,1
supper,meal,N,7.53,4.63,4.62,3,0.63,1,0.47,supper / meal,292,1
bar,cage,N,2.8,4.67,5,4,0.63,1,0.51,bar / cage,293,1
water,salt,N,1.3,5,4.89,4,0.63,1,0.94,water / salt,294,1
sense,intuition,N,7.68,2.61,1.67,1,0.62,1,1.24,sense / intuition,295,1
situation,condition,N,6.58,2.03,2.15,1,0.61,1,1.41,situation / condition,296,1
crime,theft,N,7.53,3.03,2.93,2,0.61,1,1.32,crime / theft,297,1
style,fashion,N,8.5,2.67,3.43,2,0.61,1,0.87,style / fashion,298,1
boundary,border,N,9.08,3.04,4.29,2,0.61,1,0.44,boundary / border,299,1
arm,body,N,4.05,4.96,4.79,4,0.61,1,0.51,arm / body,300,1
boat,car,N,2.37,4.93,4.89,4,0.61,1,1.17,boat / car,301,1
sandwich,lunch,N,6.3,4.9,4.31,3,0.58,1,1.53,sandwich / lunch,302,1
bride,princess,N,2.8,4.63,4.72,3,0.58,1,0.92,bride / princess,303,1
heroine,hero,N,8.78,4.21,3.07,2,0.56,1,1.79,heroine / hero,304,1
car,gauge,N,1.13,4.89,4,3,0.56,1,1.47,car / gauge,305,1
insect,bee,N,6.07,4.89,4.88,4,0.55,1,1.34,insect / bee,306,1
crib,cradle,N,8.55,4.86,4.93,4,0.55,1,1.15,crib / cradle,307,1
animal,person,N,3.05,4.61,4.72,3,0.54,1,1.38,animal / person,308,1
marijuana,herb,N,6.5,4.89,4.57,3,0.54,1,0.59,marijuana / herb,309,1
bed,hospital,N,0.92,5,4.64,4,0.54,1,1.35,bed / hospital,310,1
cheek,tongue,N,4.52,4.83,4.93,4,0.54,1,0.47,cheek / tongue,311,1
disc,computer,N,3.2,4.85,4.93,4,0.54,1,0.44,disc / computer,312,1
curve,angle,N,3.33,4.41,3.5,3,0.53,1,1.51,curve / angle,313,1
grass,moss,N,5,4.93,4.9,4,0.53,1,1.27,grass / moss,314,1
school,law,N,1.13,4.79,2.57,2,0.52,1,1.49,school / law,315,1
foot,head,N,2.3,4.9,4.75,4,0.52,1,0.62,foot / head,316,1
mother,guardian,N,6.5,4.6,3.28,3,0.51,1,1.13,mother / guardian,317,1
orthodontist,dentist,N,8.27,4.43,4.93,3,0.51,1,1.47,orthodontist / dentist,318,1
alcohol,whiskey,N,7.27,4.76,4.74,4,0.51,1,1.19,alcohol / whiskey,319,1
mouth,tooth,N,6.3,4.74,4.89,4,0.51,1,1.39,mouth / tooth,320,1
breakfast,bacon,N,4.37,4.43,4.9,3,0.5,1,1.46,breakfast / bacon,321,1
bathroom,bedroom,N,3.4,4.52,4.9,3,0.5,1,1.73,bathroom / bedroom,322,1
plate,bowl,N,5.23,4.77,4.87,4,0.5,1,1.46,plate / bowl,323,1
meat,bacon,N,5.8,4.9,4.9,4,0.5,1,1.5,meat / bacon,324,1
